city,鄉鎮市區,房型,season,price_pp,rent_pp,prr,skey
台北市,北投區,華廈,114S2,59.6,988.0,50.3,1142
台北市,北投區,華廈,114S3,63.5,967.0,54.7,1143
台北市,北投區,華廈,114S4,77.1,1008.0,63.7,1144
台北市,北投區,華廈,115S1,73.0,916.0,66.4,1151
台北市,北投區,透天,111S1,66.6,,,1111
台北市,北投區,透天,111S4,53.8,,,1114
台北市,北投區,透天,112S2,62.6,,,1122
台北市,北投區,透天,113S3,53.8,1185.0,37.8,1133
台北市,北投區,透天,114S4,87.3,737.0,98.7,1144
台北市,南港區,公寓,111S1,50.9,,,1111
台北市,南港區,公寓,111S2,61.2,,,1112
台北市,南港區,公寓,111S3,60.9,,,1113
台北市,南港區,公寓,111S4,60.4,,,1114
台北市,南港區,公寓,112S1,51.7,,,1121
台北市,南港區,公寓,112S2,57.4,,,1122
台北市,南港區,公寓,112S3,59.7,,,1123
台北市,南港區,公寓,112S4,55.3,807.0,57.1,1124
台北市,南港區,公寓,113S1,60.0,972.0,51.4,1131
台北市,南港區,公寓,113S2,64.1,856.0,62.4,1132
台北市,南港區,公寓,113S3,67.5,932.0,60.4,1133
台北市,南港區,公寓,113S4,70.1,911.0,64.1,1134
台北市,南港區,公寓,114S1,72.8,1015.0,59.8,1141
台北市,南港區,公寓,114S2,62.7,869.0,60.1,1142
台北市,南港區,公寓,114S3,63.9,939.0,56.7,1143
台北市,南港區,公寓,114S4,62.1,886.0,58.4,1144
台北市,南港區,公寓,115S1,60.2,1025.0,48.9,1151
台北市,南港區,大樓,111S1,83.8,,,1111
台北市,南港區,大樓,111S2,90.5,,,1112
台北市,南港區,大樓,111S3,90.8,,,1113
台北市,南港區,大樓,111S4,82.2,,,1114
台北市,南港區,大樓,112S1,83.1,,,1121
台北市,南港區,大樓,112S2,86.3,,,1122
台北市,南港區,大樓,112S3,90.1,,,1123
台北市,南港區,大樓,112S4,91.4,1412.0,53.9,1124
台北市,南港區,大樓,113S1,77.2,1104.0,58.3,1131
台北市,南港區,大樓,113S2,90.1,1061.0,70.8,1132
台北市,南港區,大樓,113S3,100.6,1253.0,66.9,1133
台北市,南港區,大樓,113S4,55.7,1253.0,37.0,1134
台北市,南港區,大樓,114S1,86.7,1255.0,57.6,1141
台北市,南港區,大樓,114S2,88.7,952.0,77.6,1142
台北市,南港區,大樓,114S3,98.8,1088.0,75.7,1143
台北市,南港區,大樓,114S4,99.8,1562.0,53.2,1144
台北市,南港區,大樓,115S1,89.0,1288.0,57.6,1151
台北市,南港區,華廈,111S1,72.9,,,1111
台北市,南港區,華廈,111S2,67.7,,,1112
台北市,南港區,華廈,111S3,75.6,,,1113
台北市,南港區,華廈,111S4,69.4,,,1114
台北市,南港區,華廈,112S1,76.0,,,1121
台北市,南港區,華廈,112S2,77.8,,,1122
台北市,南港區,華廈,112S3,74.7,,,1123
台北市,南港區,華廈,112S4,82.2,826.0,82.9,1124
台北市,南港區,華廈,113S1,78.9,1230.0,53.5,1131
台北市,南港區,華廈,113S2,80.1,1197.0,55.8,1132
台北市,南港區,華廈,113S3,83.5,1174.0,59.3,1133
台北市,南港區,華廈,113S4,83.5,1240.0,56.1,1134
台北市,南港區,華廈,114S1,85.4,1048.0,67.9,1141
台北市,南港區,華廈,114S2,86.4,835.0,86.2,1142
台北市,南港區,華廈,114S3,83.6,919.0,75.8,1143
台北市,南港區,華廈,114S4,72.9,1180.0,51.5,1144
台北市,南港區,華廈,115S1,101.7,902.0,94.0,1151
台北市,士林區,公寓,111S1,52.3,,,1111
台北市,士林區,公寓,111S2,52.9,,,1112
台北市,士林區,公寓,111S3,52.3,,,1113
台北市,士林區,公寓,111S4,53.4,,,1114
台北市,士林區,公寓,112S1,52.0,,,1121
台北市,士林區,公寓,112S2,52.3,,,1122
台北市,士林區,公寓,112S3,54.0,,,1123
台北市,士林區,公寓,112S4,52.3,820.0,53.2,1124
台北市,士林區,公寓,113S1,54.9,883.0,51.8,1131
台北市,士林區,公寓,113S2,55.8,889.0,52.3,1132
台北市,士林區,公寓,113S3,59.8,863.0,57.7,1133
台北市,士林區,公寓,113S4,59.3,902.0,54.8,1134
台北市,士林區,公寓,114S1,60.3,860.0,58.4,1141
台北市,士林區,公寓,114S2,61.6,899.0,57.1,1142
台北市,士林區,公寓,114S3,61.5,929.0,55.2,1143
台北市,士林區,公寓,114S4,60.1,840.0,59.6,1144
台北市,士林區,公寓,115S1,59.6,921.0,53.9,1151
台北市,士林區,大樓,111S1,85.6,,,1111
台北市,士林區,大樓,111S2,71.3,,,1112
台北市,士林區,大樓,111S3,78.5,,,1113
台北市,士林區,大樓,111S4,76.6,,,1114
台北市,士林區,大樓,112S1,78.8,,,1121
台北市,士林區,大樓,112S2,88.5,,,1122
台北市,士林區,大樓,112S3,85.4,,,1123
台北市,士林區,大樓,112S4,102.6,1301.0,65.7,1124
台北市,士林區,大樓,113S1,95.5,1431.0,55.6,1131
台北市,士林區,大樓,113S2,94.0,1582.0,49.5,1132
台北市,士林區,大樓,113S3,86.5,1456.0,49.5,1133
台北市,士林區,大樓,113S4,98.0,1438.0,56.8,1134
台北市,士林區,大樓,114S1,88.0,1493.0,49.1,1141
台北市,士林區,大樓,114S2,93.9,1552.0,50.4,1142
台北市,士林區,大樓,114S3,106.7,1395.0,63.7,1143
台北市,士林區,大樓,114S4,99.6,1623.0,51.1,1144
台北市,士林區,大樓,115S1,98.1,1443.0,56.7,1151
台北市,士林區,華廈,111S1,65.4,,,1111
台北市,士林區,華廈,111S2,71.2,,,1112
台北市,士林區,華廈,111S3,67.1,,,1113
台北市,士林區,華廈,111S4,73.1,,,1114
台北市,士林區,華廈,112S1,69.9,,,1121
台北市,士林區,華廈,112S2,70.5,,,1122
台北市,士林區,華廈,112S3,70.3,,,1123
台北市,士林區,華廈,112S4,68.7,1420.0,40.3,1124
台北市,士林區,華廈,113S1,68.5,1478.0,38.6,1131
台北市,士林區,華廈,113S2,73.9,1550.0,39.7,1132
台北市,士林區,華廈,113S3,74.2,1235.0,50.1,1133
台北市,士林區,華廈,113S4,80.9,1306.0,51.6,1134
台北市,士林區,華廈,114S1,82.3,1309.0,52.4,1141
台北市,士林區,華廈,114S2,72.6,1517.0,39.9,1142
台北市,士林區,華廈,114S3,70.6,1354.0,43.5,1143
台北市,士林區,華廈,114S4,68.1,1307.0,43.4,1144
台北市,士林區,華廈,115S1,72.6,1441.0,42.0,1151
台北市,士林區,透天,111S1,107.7,,,1111
台北市,士林區,透天,111S2,83.2,,,1112
台北市,士林區,透天,111S3,88.4,,,1113
台北市,士林區,透天,111S4,126.1,,,1114
台北市,士林區,透天,112S3,76.0,,,1123
台北市,士林區,透天,112S4,99.0,,,1124
台北市,士林區,透天,113S2,86.7,1755.0,41.2,1132
台北市,士林區,透天,113S4,114.8,942.0,101.6,1134
台北市,大同區,公寓,111S1,57.7,,,1111
台北市,大同區,公寓,111S2,51.8,,,1112
台北市,大同區,公寓,111S3,48.9,,,1113
台北市,大同區,公寓,111S4,52.2,,,1114
台北市,大同區,公寓,112S1,54.1,,,1121
台北市,大同區,公寓,112S2,55.5,,,1122
台北市,大同區,公寓,112S3,55.6,,,1123
台北市,大同區,公寓,112S4,54.2,1107.0,40.8,1124
台北市,大同區,公寓,113S1,56.9,939.0,50.5,1131
台北市,大同區,公寓,113S2,58.2,1002.0,48.4,1132
台北市,大同區,公寓,113S3,58.2,1060.0,45.8,1133
台北市,大同區,公寓,113S4,61.5,1063.0,48.2,1134
台北市,大同區,公寓,114S1,60.1,955.0,52.4,1141
台北市,大同區,公寓,114S2,61.9,955.0,54.0,1142
台北市,大同區,公寓,114S3,61.5,1013.0,50.6,1143
台北市,大同區,公寓,114S4,59.1,1051.0,46.9,1144
台北市,大同區,公寓,115S1,57.9,1028.0,46.9,1151
台北市,大同區,大樓,111S1,68.6,,,1111
台北市,大同區,大樓,111S2,67.5,,,1112
台北市,大同區,大樓,111S3,68.1,,,1113
台北市,大同區,大樓,111S4,81.0,,,1114
台北市,大同區,大樓,112S1,83.7,,,1121
台北市,大同區,大樓,112S2,75.3,,,1122
台北市,大同區,大樓,112S3,80.1,,,1123
台北市,大同區,大樓,112S4,78.4,1904.0,34.3,1124
台北市,大同區,大樓,113S1,83.1,1818.0,38.1,1131
台北市,大同區,大樓,113S2,81.8,1902.0,35.8,1132
台北市,大同區,大樓,113S3,79.9,1856.0,35.9,1133
台北市,大同區,大樓,113S4,91.0,1888.0,40.2,1134
台北市,大同區,大樓,114S1,95.0,1765.0,44.9,1141
台北市,大同區,大樓,114S2,87.9,2069.0,35.4,1142
台北市,大同區,大樓,114S3,110.1,1919.0,47.8,1143
台北市,大同區,大樓,114S4,85.1,1861.0,38.1,1144
台北市,大同區,大樓,115S1,77.4,1874.0,34.4,1151
台北市,大同區,華廈,111S1,62.1,,,1111
台北市,大同區,華廈,111S2,58.4,,,1112
台北市,大同區,華廈,111S3,52.5,,,1113
台北市,大同區,華廈,112S1,71.3,,,1121
台北市,大同區,華廈,112S2,66.5,,,1122
台北市,大同區,華廈,112S3,62.2,,,1123
台北市,大同區,華廈,112S4,66.0,1274.0,43.2,1124
台北市,大同區,華廈,113S1,68.4,1170.0,48.7,1131
台北市,大同區,華廈,113S2,69.0,1197.0,48.0,1132
台北市,大同區,華廈,113S3,76.8,1074.0,59.6,1133
台北市,大同區,華廈,113S4,69.8,1493.0,39.0,1134
台北市,大同區,華廈,114S1,78.2,1129.0,57.7,1141
台北市,大同區,華廈,114S3,72.0,1035.0,58.0,1143
台北市,大同區,華廈,114S4,75.9,1274.0,49.6,1144
台北市,大同區,華廈,115S1,88.8,1293.0,57.2,1151
台北市,大安區,公寓,111S1,78.7,,,1111
台北市,大安區,公寓,111S2,83.6,,,1112
台北市,大安區,公寓,111S3,84.0,,,1113
台北市,大安區,公寓,111S4,84.7,,,1114
台北市,大安區,公寓,112S1,83.9,,,1121
